8	2	8	4	
8	2	8	4	
8	2	8	5	
8	2	9	9	
8	2	9	5	
8	2	8	6	
8	2	8	9	
8	2	8	6	
8	2	8	4	
8	2	8	5	
8	2	8	6	
8	2	8	4	
8	2	8	4	
8	2	8	5	
8	2	9	10	
8	2	8	6	
8	2	9	4	
8	2	8	7	
8	2	8	6	
8	2	8	9	
8	2	8	10	
8	2	8	4	
8	2	8	5	
8	2	8	5	
8	2	8	6	
8	2	8	5	
8	2	9	4	
8	2	8	4	
8	2	8	5	
8	2	8	5	
8	2	9	5	
8	2	8	5	
8	2	8	4	
8	2	8	5	
8	2	8	10	
8	2	8	5	
8	2	8	5	
8	2	8	6	
8	2	8	5	
8	2	8	4	
8	2	8	6	
8	2	8	5	
8	2	8	5	
8	2	9	6	
8	2	8	4	
8	2	8	4	
8	2	9	6	
8	2	8	4	
8	2	8	6	
8	2	8	4	
8	2	8	5	
8	2	8	5	
8	2	8	5	
8	2	8	6	
8	2	8	10	
8	2	8	4	
8	2	9	5	
8	2	8	5	
8	2	8	4	
8	2	8	9	
8	2	8	4	
8	2	8	5	
8	2	8	5	
8	2	8	6	
8	2	8	4	
8	2	8	5	
8	2	9	5	
8	2	8	5	
8	2	8	6	
8	2	8	5	
8	2	8	5	
8	2	8	4	
8	2	9	4	
8	2	8	5	
8	2	8	4	
8	2	9	4	
8	2	9	6	
8	2	8	4	
8	2	8	5	
8	2	8	5	
8	2	8	5	
8	2	9	6	
8	2	9	5	
8	2	8	5	
8	2	8	4	
8	2	8	6	
8	2	8	5	
8	2	8	6	
8	2	8	5	
8	2	9	5	
8	2	9	10	
8	2	8	6	
8	2	8	6	
8	2	8	5	
8	2	8	5	
8	2	8	6	
8	2	8	4	
8	2	8	5	
8	2	8	5	
8	2	9	5	
8	2	8	5	
8	4	10	4	
8	4	8	6	
8	4	8	5	
8	4	9	11	
8	4	8	6	
8	4	8	4	
8	4	8	4	
8	4	8	5	
8	4	9	6	
8	4	8	5	
8	4	10	5	
8	4	8	5	
8	4	9	6	
8	4	9	15	
8	4	8	4	
8	4	9	5	
8	4	8	6	
8	4	9	5	
8	4	8	5	
8	4	8	4	
8	4	8	5	
8	4	9	5	
8	4	9	7	
8	4	8	7	
8	4	8	4	
8	4	8	4	
8	4	11	5	
8	4	8	5	
8	4	9	6	
8	4	8	4	
8	4	8	5	
8	4	8	6	
8	4	8	5	
8	4	8	5	
8	4	9	6	
8	4	9	6	
8	4	8	4	
8	4	8	5	
8	4	8	5	
8	4	9	6	
8	4	8	5	
8	4	9	5	
8	4	8	6	
8	4	8	4	
8	4	8	5	
8	4	10	4	
8	4	8	4	
8	4	9	4	
8	4	8	4	
8	4	8	4	
8	4	8	5	
8	4	9	4	
8	4	9	5	
8	4	8	6	
8	4	8	5	
8	4	8	5	
8	4	8	4	
8	4	8	6	
8	4	8	4	
8	4	9	5	
8	4	8	5	
8	4	9	4	
8	4	9	4	
8	4	8	6	
8	4	9	5	
8	4	8	6	
8	4	8	10	
8	4	9	4	
8	4	9	6	
8	4	8	5	
8	4	8	14	
8	4	13	15	
8	4	8	5	
8	4	9	5	
8	4	8	5	
8	4	8	5	
8	4	8	11	
8	4	8	5	
8	4	8	10	
8	4	8	6	
8	4	9	6	
8	4	8	5	
8	4	8	6	
8	4	8	5	
8	4	8	4	
8	4	9	5	
8	4	9	6	
8	4	9	6	
8	4	11	5	
8	4	8	4	
8	4	9	14	
8	4	8	5	
8	4	8	6	
8	4	9	4	
8	4	8	5	
8	4	9	5	
8	4	8	13	
8	4	8	4	
8	4	8	5	
8	4	12	6	
